CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;4;13.4;20.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;5;13.7;21.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;6;12.1;19.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;7;13.5;20.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;8;13.5;19.1
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;9;11.9;21.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;10;13.4;19.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;11;12.2;18.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;12;13.4;16.9
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;13;14.0;19.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;14;7.5;20.1
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;15;9.0;20.1
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;16;11.5;18.0
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;17;14.1;19.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;18;13.4;19.9
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;19;14.8;20.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;20;13.1;18.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;21;12.7;19.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;22;8.2;20.8
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;23;7.2;18.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;24;9.8;17.6
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;25;12.0;17.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;26;13.8;17.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;27;10.7;19.4
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;28;9.8;20.5
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;29;10.9;21.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;30;12.5;20.7
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;31;12.4;19.9
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;1;11.4;18.2
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;2;11.4;17.9
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;3;11.5;17.6
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;4;10.3;17.5
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;5;11.1;17.7
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;6;9.6;15.4
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;7;10.3;16.5
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;8;12.7;16.8
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;9;12.3;14.8
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;10;9.4;15.8
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;11;8.0;15.6
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;12;9.8;16.3
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;13;8.2;16.8
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;14;7.5;17.8
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;15;8.0;19.7
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;16;7.8;16.2
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;17;12.8;18.7
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;18;11.1;16.9
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;19;13.5;16.4
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;20;11.3;17.4
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;21;8.1;16.3
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;22;7.5;17.1
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;23;7.0;19.5
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;24;7.1;17.8
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;25;8.0;16.6
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;26;13.2;16.1
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;27;13.5;17.5
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;28;11.2;18.2
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;29;11.4;19.6
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;30;9.8;17.6
290004;La Florida, La Serena Ad.;29&deg 54' 52'' S;137;2020;5;31;13.2;15.0
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;1;10.3;20.1
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;2;9.2;18.6
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;3;10.3;21.6
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;4;11.6;25.2
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;5;13.8;27.9
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;6;14.0;28.6
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;7;10.1;18.6
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;8;10.5;12.9
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;9;7.7;19.0
330007;Rodelillo, Ad.;33&deg 3' 55'' S;330;2020;5;10;9.3;20.0
